--------- beginning of main
09-04 19:51:15.852 I/RyzeBridge(20280): SCRIPT connect;write 3403010005;until 3403 4000;status
09-04 19:51:15.852 I/RyzeBridge(20280): STATE already connected
09-04 19:53:08.428 I/RyzeBridge(20280): RX 34F2 46fa0501
09-04 19:53:08.510 I/RyzeBridge(20280): RX 34F2 46fa0502
09-04 19:53:08.601 I/RyzeBridge(20280): RX 34F2 46fa0503
09-04 19:53:08.691 I/RyzeBridge(20280): RX 34F2 46fa0504
09-04 19:53:08.782 I/RyzeBridge(20280): RX 34F2 46fd
09-04 19:53:08.872 I/RyzeBridge(20280): RX 34F2 5200fd
09-04 19:53:08.961 I/RyzeBridge(20280): RX 33F2 37ae
09-04 19:53:09.102 I/RyzeBridge(20280): RX 34F2 fd48aa000101010201020401030501040701050801060901070a01080b01090c010a0d010b0e010c0f010d10010e12010f1301101401111501121701131801141901151b01161c01171e01181f011922011a23011b24011c25011d27011e28011f2901202c01212d01222e01233401243501253701263901273a01283f012940012a41012b44012c46012d48012e4b012f4d01304e01315001325101335501345601355801365901375a013860013961013a62013b63013c65013d68013e6a013f6b01406c01416d01426f0143710144720145730146
09-04 19:53:09.139 I/RyzeBridge(20280): RX 34F2 fd48aafd0900040046
09-04 19:53:19.466 I/RyzeBridge(20280): CONNPARAMS interval=252 latency=0 timeout=500 status=0
09-04 19:58:01.716 I/RyzeBridge(20280): RX 33F2 f70307ea0904130559
09-04 20:00:01.419 I/RyzeBridge(20280): RX 33F2 b107ea090413000000000000000000000000
09-04 20:00:01.420 I/RyzeBridge(20280): RX 33F2 b107ea090413000000000000000000000000
09-04 20:00:01.732 I/RyzeBridge(20280): RX 33F2 3411
09-04 20:00:58.752 I/RyzeBridge(20280): RX 33F2 34000061
09-04 20:03:00.973 I/RyzeBridge(20280): RX 33F2 a24d
09-04 20:03:03.526 I/RyzeBridge(20280): CONNPARAMS interval=27 latency=0 timeout=500 status=0
09-04 20:03:11.175 I/RyzeBridge(20280): CONNPARAMS interval=252 latency=0 timeout=500 status=0
09-04 20:08:01.932 I/RyzeBridge(20280): RX 33F2 f70307ea090414005d
09-04 20:09:10.607 I/RyzeBridge(20280): RX 33F2 b107ea090414000b0000000000090900000b
09-04 20:09:10.608 I/RyzeBridge(20280): RX 33F2 b107ea090414000b0000000000090900000b
09-04 20:09:23.836 I/RyzeBridge(20280): RX 33F2 b107ea090414001500000000000909000015
09-04 20:09:24.151 I/RyzeBridge(20280): RX 33F2 b107ea090414001500000000000909000015
09-04 20:09:24.780 I/RyzeBridge(20280): RX 33F2 b107ea090414001800000000000909000018
